Approved_symbol	Locus	Chromosome
TRY-GTA7-1	14q11.2	14
TRY-GTA8-1	6p22.2	6
TRY-GTA9-1	8q13.1	8
TRY-GTA10-1	7q36.1	7
TRY-GTA11-1	7q36.1	7
TRY-GTA12-1	15q26.1	15
TSACC	1q22	1
TSBP1	6p21.32	6
TSBP1-AS1	6p21.32	6
TSC1	9q34	9
TSC2	16p13.3	16
TSC3	12q22-q24.1	12
TSC22D1	13q14.11	13
TSC22D1-AS1	13q14.11	13
TSC22D2	3q25.1	3
TSC22D3	Xq22.3	X
TSC22D4	7q22.1	7
TSEN2	3p25.2	3
TSEN2P1	4q34.2	4
TSEN15	1q25.3	1
TSEN15P1	17p11.2	17
TSEN15P2	1p32.3	1
TSEN15P3	7p15.3	7
TSEN34	19q13.42	19
TSEN54	17q25.1	17
TSFM	12q14.1	12
TSG10	11p15	11
TSG101	11p15.1	11
TSGA10	2q11.2	2
TSGA10IP	11q13.1	11
TSGA13	7q32.2	7
TSHB	1p13.2	1
TSHR	14q24-q31	14
TSHRL1	1q	1
TSHRL2	8	8
TSHRL3	10	10
TSHZ1	18q22.3	18
TSHZ2	20q13.2	20
TSHZ3	19q12	19
TSHZ3-AS1	19q12	19
TSIX	Xq13.2	X
TSKS	19q13.33	19
TSKU	11q13.5	11
TSKU-AS1	11q13.5	11
TSLC1	reserved	reserved
TSLP	5q22.1	5
TSN	2q14.3	2
TSNARE1	8q24.3	8
TSNAX	1q42.2	1
TSNAX-DISC1	1q42.2	1
TSNAXIP1	16q22.1	16
TSPAN1	1p34.1	1
TSPAN2	1p13.2	1
TSPAN3	15q24.3	15
TSPAN4	11p15.5	11
TSPAN5	4q23	4
TSPAN5-DT	4q23	4
TSPAN6	Xq22.1	X
TSPAN7	Xp11.4	X
TSPAN8	12q21.1	12
TSPAN9	12p13.33-p13.32	12
TSPAN9-IT1	12p13.33	12
TSPAN10	17q25.3	17
TSPAN11	12p11.21	12
TSPAN11-AS1	12p11.21	12
TSPAN12	7q31.31	7
TSPAN13	7p21.1	7
TSPAN14	10q23.1	10
TSPAN14-AS1	10q23.1	10
TSPAN15	10q22.1	10
TSPAN16	19p13.2	19
TSPAN17	5q35.2	5
TSPAN18	11p11.2	11
TSPAN18-AS1	11p11.2	11
TSPAN19	12q21.31	12
TSPAN31	12q14.1	12
TSPAN32	11p15.5	11
TSPAN33	7q32.1	7
TSPEAR	21q22.3	21
TSPEAR-AS1	21q22.3	21
TSPEAR-AS2	21q22.3	21
TSPO	22q13.2	22
TSPO2	6p21.1	6
TSPOAP1	17q22	17
TSPOAP1-AS1	17q22	17
TSPY1	Yp11.2	Y
TSPY2	Yp11.2	Y
TSPY3	Yp11.2	Y
TSPY4	Yp11.2	Y
TSPY5P	Yp11.2	Y
TSPY6P	Yp11.2	Y
TSPY7P	Yp11.2	Y
TSPY8	Yp11.2	Y
TSPY9	Yp11.2	Y
TSPY10	Yp11.2	Y
TSPY11P	Yp11.2	Y
TSPY12P	Yp11.2	Y
TSPY13P	Yp11.2	Y
TSPY14P	Yq11.223	Y
TSPY15P	Yp11.2	Y
TSPY16P	Yp11.2	Y
TSPY17P	Yp11.2	Y
TSPY18P	Yp11.2	Y
TSPY19P	Yp11.2	Y
TSPY20P	Yp11.2	Y
TSPY21P	Yq11.223	Y
TSPY22P	Yq11.223	Y
TSPY23P	Yq11.223	Y
TSPY24P	Yp11.2	Y
TSPY25P	Yp11.2	Y
TSPY26P	20q11.21	20
TSPYL1	6q22.1	6
TSPYL2	Xp11.22	X
TSPYL4	6q22.1	6
TSPYL5	8q22.1	8
TSPYL6	2p16.2	2
TSR1	17p13.3	17
TSR2	Xp11.22	X
TSR3	16p13.3	16
TSSC2	11p15.4	11
TSSC4	11p15.5	11
TSSK1A	22q11.21	22
TSSK1B	5q22.2	5
TSSK2	22q11.21	22
TSSK3	1p35.1	1
TSSK4	14q12	14
TSSK5P	8q24.3	8
TSSK5P2	8q24.3	8
TSSK6	19p13.11	19
TST	22q12.3	22
TSTA1	reserved	reserved
TSTA2	reserved	reserved
TSTD1	1q23.3	1
TSTD2	9q22.33	9
TSTD3	6q16.2	6
TTBK1	6p21.1	6
TTBK2	15q15.2	15
TTBK2-AS1	15q15.2	15
TTC1	5q33.3	5
TTC3	21q22.13	21
TTC3-AS1	21q22.13	21
TTC3P1	Xq13.3	X
TTC4	1p32.3	1
TTC4P1	7p12.3	7
TTC5	14q11.2	14
TTC6	14q21.1	14
TTC7A	2p21	2
TTC7B	14q32.11	14
TTC7B-AS1	14q32.11	14
TTC8	14q31.3	14
TTC9	14q24.2	14
TTC9-DT	14q24.2	14
TTC9B	19q13.2	19
TTC9C	11q12.3	11
TTC12	11q23.2	11
TTC12-DT	11q23.2	11
TTC13	1q42.2	1
TTC14	3q26.33	3
TTC14-DT	3q26.33	3
TTC16	9q34.11	9
TTC17	11p12-p11.2	11
TTC19	17p12	17
TTC21A	3p22.2	3
TTC21B	2q24.3	2
TTC21B-AS1	2q24.3	2
TTC22	1p32.3	1
TTC23	15q26.3	15
TTC23-AS1	15q26.3	15
TTC23L	5p13.2	5
TTC23L-AS1	5p13.2	5
TTC24	1q22	1
TTC27	2p22.3	2
TTC28	22q12.1	22
TTC28-AS1	22q12.1	22
TTC29	4q31.22	4
TTC31	2p13.1	2
TTC32	2p24.1	2
TTC32-DT	2p24.1	2
TTC33	5p13.1	5
TTC34	1p36.32	1
TTC36	11q23.3	11
TTC36-AS1	11q23.3	11
TTC38	22q13.31	22
TTC39A	1p32.3	1
TTC39A-AS1	1p32.3	1
TTC39B	9p22.3	9
TTC39C	18q11.2	18
TTC39C-AS1	18q11.2	18
TTC39CP1	4q26	4
TTC39DP	2p22.1	2
TTC41P	12q23.3	12
TTD	reserved	reserved
TTF1	9q34.13	9
TTF2	1p13.1	1
TTI1	20q11.23	20
TTI2	8p12	8
TTIM1	7p12-cen	7
TTK	6q14.1	6
TTL	2q14.1	2
TTLL1	22q13.2	22
TTLL1-AS1	22q13.2	22
TTLL2	6q27	6
TTLL3	3p25.3	3
TTLL4	2q35	2
TTLL5	14q24.3	14
TTLL6	17q21.32	17
TTLL7	1p31.1	1
TTLL7-IT1	1p31.1	1
TTLL8	22q13.33	22
TTLL9	20q11	20
TTLL10	1p36.33	1
TTLL10-AS1	1p36.33	1
TTLL11	9q33.2	9
TTLL11-IT1	9q34.11	9
TTLL12	22q13.2	22
TTLL13	15q26.1	15
TTN	2q31.2	2
TTN-AS1	2q31.2	2
TTPA	8q12.3	8
TTPAL	20q13.12	20
TTR	18q12.1	18
TTTY1	Yp11.2	Y
TTTY1B	Yp11.2	Y
TTTY2	Yp11.2	Y
TTTY2B	Yp11.2	Y
TTTY3	Yq11.23	Y
TTTY3B	Yq11.23	Y
TTTY4	Yq11.223	Y
TTTY4B	Yq11.23	Y
TTTY4C	Yq11.23	Y
TTTY5	Yq11.223	Y
TTTY6	Yq11.223	Y
TTTY6B	Yq11.223	Y
TTTY7	Yp11.2	Y
TTTY7B	Yp11.2	Y
TTTY8	Yp11.2	Y
TTTY8B	Yp11.2	Y
TTTY9A	Yq11.222	Y
TTTY9B	Yq11.222	Y
TTTY10	Yq11.223	Y
TTTY11	Yp11.2	Y
TTTY12	Yp11.2	Y
TTTY13	Yq11.223	Y
TTTY13B	Yp11.2	Y
TTTY13C	Yp11.2 not on reference assembly	Y
TTTY14	Yq11.222	Y
TTTY15	Yq11.221	Y
TTTY16	Yp11.2	Y
TTTY17A	Yq11.223	Y
TTTY17B	Yq11.23	Y
TTTY17C	Yq11.23	Y
TTTY18	Yp11.2	Y
TTTY19	Yp11.2	Y
TTTY20	Yp11.2	Y
TTTY21	Yp11.2	Y
TTTY21B	Yp11.2	Y
TTTY22	Yp11.2	Y
TTTY23	Yp11.2	Y
TTTY23B	Yp11.2	Y
TTTY24P	Yp11.2	Y
TTTY25P	Yq11.223	Y
TTTY26P	Yp11.2	Y
TTTY27P	Yp11.2	Y
TTTY28P	Yq11.23	Y
TTTY29P	Yq11.223	Y
TTTY30P	Yp11.2	Y
TTTY31P	Yp11.2	Y
TTYH1	19q13.42	19
TTYH2	17q25.1	17
TTYH3	7p22.3	7
TUB	11p15.4	11
TUB-AS1	11p15.4	11
TUBA1A	12q13.12	12
TUBA1B	12q13.12	12
TUBA1B-AS1	12q13.12	12
TUBA1C	12q13.12	12
TUBA3C	13q12.11	13
TUBA3D	2q21.1	2
TUBA3E	2q21.1	2
TUBA3FP	22q11.21	22
TUBA3GP	22q11.21	22
TUBA4A	2q35	2
TUBA4B	2q35	2
TUBA5P	1q32.1	1
TUBA8	22q11.21	22
TUBAL1	12	12
TUBAL3	10p15.1	10
TUBAP1	21q21.2	21
TUBAP2	11q14.3	11
TUBAP3	3p21.33	3
TUBAP4	15q25.2	15
TUBAP6	Xq23	X
TUBAP7	11q12.3	11
TUBAP8	1p33	1
TUBAP9	1p33	1
TUBAP10	4q28.1	4
TUBAP11	15q14	15
TUBAP12	15q26.2	15
TUBAP13	2q23.3	2
TUBAP14	5p12	5
TUBAP15	5q23.1	5
TUBB	6p21.33	6
TUBB1	20q13.32	20
TUBB1P1	Yq11.222	Y
TUBB1P2	Yq11.222	Y
TUBB2A	6p25.2	6
TUBB2B	6p25.2	6
TUBB2BP1	6p25.2	6
TUBB3	16q24.3	16
TUBB3P1	6q15	6
TUBB3P2	7q33	7
TUBB4A	19p13.3	19
TUBB4AP1	Xq25	X
TUBB4B	9q34.3	9
TUBB4BP1	12p12.1	12
TUBB4BP2	9p13.3	9
TUBB4BP3	Xq24	X
TUBB4BP4	11q14.3	11
TUBB4BP5	4q27	4
TUBB4BP6	9q33.1	9
TUBB4BP7	6q25.2	6
TUBB4BP8	Xq21.33	X
TUBB6	18p11.21	18
TUBB6P1	1p34.3	1
TUBB7P	4q35.2	4
TUBB8	10p15.3	10
TUBB8B	18p11.32	18
TUBB8P1	9p21.3	9
TUBB8P2	6q24.2	6
TUBB8P3	4q25	4
TUBB8P4	12p11.1	12
TUBB8P5	12q12	12
TUBB8P6	1q43	1
TUBB8P7	16q24.3	16
TUBB8P8	3q29	3
TUBB8P9	1q42.13	1
TUBB8P10	1q42.13	1
TUBB8P11	1p36.33	1
TUBBP1	8p12	8
TUBBP2	13q14.11	13
TUBBP3	14q21.2	14
TUBBP4	9p13.3	9
TUBBP5	9q34.3	9
TUBBP6	7p11.2	7
TUBBP7	8q22.1	8
TUBBP8	15q13.1	15
TUBBP9	6p21.2	6
TUBBP10	1p32.3	1
TUBBP11	3q13.11	3
TUBD1	17q23.1	17
TUBE1	6q21	6
TUBG1	17q21.31	17
TUBG1P	7p13	7
TUBG2	17q21.2	17
TUBGCP2	10q26.3	10
TUBGCP3	13q34	13
TUBGCP4	15q15.3	15
TUBGCP5	15q11.2	15
TUBGCP6	22q13.33	22
TUFM	16p11.2	16
TUFMP1	17q11.1	17
TUFT1	1q21.3	1
TUG1	22q12.2	22
TULP1	6p21.31	6
TULP2	19q13.33	19
TULP3	12p13.33	12
TULP3P1	13q32.1	13
TULP4	6q25.3	6
TUNAR	14q32.2	14
TUSC1	9p21.2	9
TUSC2	3p21.31	3
TUSC2P1	Yp11.2	Y
TUSC2P2	Xq21.32	X
TUSC3	8p22	8
TUSC7	3q13.31	3
TUSC8	13q14.11	13
TUT1	11q12.3	11
TUT4	1p32.3	1
TUT7	9q21.33	9
TVP23A	16p13.13	16
TVP23B	17p11.2	17
TVP23BP1	15q12	15
TVP23BP2	2p13.1	2
TVP23C	17p12	17
TVP23C-CDRT4	17p12	17
TVP23CP1	7q21.13	7
TVP23CP2	16p13.12	16
TVP23CP3	3q27.1	3
TWF1	12q12	12
TWF1P1	17q11.2	17
TWF1P2	Xq28	X
TWF2	3p21.2	3
TWF2-DT	3p21.2	3
TWIST1	7p21.1	7
TWIST2	2q37.3	2
TWNK	10q24.31	10
TWSG1	18p11.22	18
TWSG1-DT	18p11.22	18
TXK	4p12	4
TXLNA	1p35.2	1
TXLNB	6q24.1	6
TXLNG	Xp22.2	X
TXLNGY	Yq11.222-q11.223	Y
TXN	9q31.3	9
TXN2	22q12.3	22
TXN2P1	1p31.1	1
TXNDC2	18p11.31-p11.2	18
TXNDC5	6p24.3	6
TXNDC8	9q31.3	9
TXNDC9	2q11.2	2
TXNDC11	16p13.13	16
TXNDC11-AS1	16p13.13	16
TXNDC12	1p32.3	1
TXNDC12-AS1	1p32.3	1
TXNDC15	5q31.1	5
TXNDC16	14q22.1	14
TXNDC17	17p13.1	17
TXNIP	1q21.1	1
TXNL1	18q21.31	18
TXNL1P1	13q31.1	13
TXNL4A	18q23	18
TXNL4AP1	2q31.3	2
TXNL4B	16q22.2	16
TXNP1	10q26.11	10
TXNP2	1p31.2	1
TXNP3	1p13.2	1
TXNP4	17p13.2	17
TXNP5	2q23.2	2
TXNP6	4q21.1	4
TXNP7	6q13	6
TXNRD1	12q23.3	12
TXNRD2	22q11.21	22
TXNRD3	3q21.3	3
TXNRD3NB	3q21.3	3
TYK2	19p13.2	19
TYMP	22q13.33	22
TYMS	18p11.32	18
TYMSOS	18p11.32	18
TYMSP1	6q16.1	6
TYMSP2	19q13.12	19
TYR	11q14.3	11
TYRL	11p11.12	11
TYRO3	15q15.1	15
TYRO3P	15q24.2	15
TYRO4	4q13	4
TYROBP	19q13.12	19
TYRP1	9p23	9
TYS	4q	4
TYSND1	10q22.1	10
TYW1	7q11.21	7
TYW1B	7q11.22-q11.23	7
TYW1P1	2p22.3	2
TYW3	1p31.1	1
TYW5	2q33.1	2
U2AF1	21q22.3	21
U2AF1L4	19q13.12	19
U2AF1L5	21p12	21
U2AF1P	reserved	reserved
U2AF2	19q13.42	19
U2AFBP	reserved	reserved
U2SURP	3q23	3
U2SURPP1	3p13	3
UACA	15q23	15
UAP1	1q23.3	1
UAP1-DT	1q23.3	1
UAP1L1	9q34.3	9
UBA1	Xp11.3	X
UBA2	19q13.11	19
UBA3	3p14.1	3
UBA5	3q22.1	3
UBA5P1	1q42.13	1
UBA6	4q13.2	4
UBA6-DT	4q13.2	4
UBA7	3p21.31	3
UBA52	19p13.1-p12	19
UBA52P1	7p15.2	7
UBA52P2	14q11.2	14
UBA52P3	14q23.1	14
UBA52P4	3p22	3
UBA52P5	8q24.13	8
UBA52P6	9p21.3	9
UBA52P7	12q24.21	12
UBA52P8	16q12.1	16
UBA52P9	18q11.2	18
UBAC1	9q34.3	9
UBAC2	13q32.3	13
UBAC2-AS1	13q32.3	13
UBAC2-IT1	13q32.3	13
UBALD1	16p13.3	16
UBALD2	17q25.1	17
UBAP1	9p13.3	9
UBAP1L	15q22.31	15
UBAP2	9p13.3	9
UBAP2L	1q21.3	1
UBASH3A	21q22.3	21
UBASH3B	11q24.1	11
UBB	17p11.2	17
UBBP1	2q22.1	2
UBBP2	1q41	1
UBBP3	2q23.1	2
UBBP4	17p11.2	17
UBBP5	13q31.2	13
UBC	12q24.3	12
UBD	6p22.1	6
UBDP1	6p22.1	6
UBE2A	Xq24	X
UBE2B	5q31.1	5
UBE2C	20q13.12	20
UBE2CP1	14q12	14
UBE2CP2	18q11.2	18
UBE2CP3	4q12	4
UBE2CP4	15q13.3	15
UBE2CP5	19q13.43	19
UBE2D1	10q21.1	10
UBE2D2	5q31.2	5
UBE2D3	4q24	4
UBE2D3-AS1	4q24	4
UBE2D3P1	20p12.3	20
UBE2D3P2	3p22.2	3
UBE2D3P3	1q21.3	1
UBE2D3P4	13q31.1	13
UBE2D4	7p13	7
UBE2D5P	20p12.3	20
UBE2DNL	Xq21.1	X
UBE2E1	3p24.2	3
UBE2E1-AS1	3p24.3	3
UBE2E2	3p24.3	3
UBE2E2-DT	3p24.3	3
UBE2E3	2q31.3	2
UBE2E3-DT	2q31.3	2
UBE2E4P	Xp22.2	X
UBE2F	2q37.3	2
UBE2F-SCLY	2q37.3	2
UBE2FP1	3p22.2	3
UBE2FP2	16q21	16
UBE2FP3	1p13.2	1
UBE2G1	17p13.2	17
UBE2G2	21q22.3	21
UBE2H	7q32.2	7
UBE2H-DT	7q32.2	7
UBE2HP1	8q21.13	8
UBE2I	16p13.3	16
UBE2J1	6q15	6
UBE2J2	1p36.33	1
UBE2K	4p14	4
UBE2L1	14q22.3	14
UBE2L2	12p12.2	12
UBE2L3	22q11.21	22
UBE2L4	19p13.2	19
UBE2L5	13q12.3	13
UBE2L6	11q12.1	11
UBE2L7P	14q22.3	14
UBE2M	19q13.43	19
UBE2MP1	16p11.2	16
UBE2N	12q22	12
UBE2NL	Xq27.3	X
UBE2NP1	14q11.2	14
UBE2O	17q25.1	17
UBE2Q1	1q21.3	1
UBE2Q1-AS1	1q21.3	1
UBE2Q2	15q24.2	15
UBE2Q2P1	15q25.2	15
UBE2Q2P2	15q25.2	15
UBE2Q2P3	15q25.2	15
UBE2Q2P4Y	Yq11.23	Y
UBE2Q2P5Y	Yq11.23	Y
UBE2Q2P6	15q25.2	15
UBE2Q2P7	15q25.2 alternate reference locus	15
UBE2Q2P8	15q25.2	15
UBE2Q2P9	3p13	3
UBE2Q2P10	8q21.3	8
UBE2Q2P11	15q25.2	15
UBE2Q2P12	15q25.2	15
UBE2Q2P13	15q26.3	15
UBE2Q2P16	15q25.2	15
UBE2QL1	5p15.31	5
UBE2R2	9p13.3	9
UBE2R2-AS1	9p13.3	9
UBE2S	19q13.42	19
UBE2SP1	17p12	17
UBE2SP2	17p11.2	17
UBE2T	1q32.1	1
UBE2U	1p31.3	1
UBE2V1	20q13.13	20
UBE2V1P1	20p13	20
UBE2V1P2	3q26.31	3
UBE2V1P3	Yp11.2	Y
UBE2V1P4	9q34.11	9
UBE2V1P5	10q25.3	10
UBE2V1P6	2q31.1	2
UBE2V1P7	Xq21.1	X
UBE2V1P8	1p34.2	1
UBE2V1P9	Xq21.31	X
UBE2V1P10	9q21.33	9
UBE2V1P11	2q33.1	2
UBE2V1P12	5p14.3	5
UBE2V1P13	1q41	1
UBE2V1P14	2q22.2	2
UBE2V1P15	6q14.1	6
UBE2V1P16	Xq25	X
UBE2V2	8q11.21	8
UBE2V2-AS1	8q11.21	8
UBE2V2P1	10p12.31	10
UBE2V2P2	17q25.3	17
UBE2V2P3	1p36.22	1
UBE2V2P4	1p34.3	1
UBE2W	8q21.11	8
UBE2WP1	1p21.3	1
UBE2Z	17q21.32	17
UBE3A	15q11.2	15
UBE3AP1	2q11.1	2
UBE3AP2	21q22.11	21
UBE3B	12q24.11	12
UBE3C	7q36.3	7
UBE3D	6q14.1	6
UBE4A	11q23.3	11
UBE4B	1p36.22	1
UBFD1	16p12.2	16
UBFD1P1	3q11.2	3
UBIAD1	1p36.22	1
UBL2	reserved	reserved
UBL3	13q12.3	13
UBL4A	Xq28	X
UBL4B	1p13.3	1
UBL5	19p13.2	19
UBL5P1	5p13.3	5
UBL5P2	17q11.2	17
UBL5P3	3p14.2	3
UBL5P4	16p13.13	16
UBL6	20	20
UBL7	15q24.1	15
UBL7-DT	15q24.1	15
UBLCP1	5q33.3	5
UBN1	16p13.3	16
UBN2	7q34	7
UBOX5	20p13	20
UBOX5-AS1	20p13	20
UBP1	3p22.3	3
UBQLN1	9q21.32	9
UBQLN1-AS1	9q21.32	9
UBQLN1P1	6p22.1	6
UBQLN2	Xp11.21	X
UBQLN3	11p15.4	11
UBQLN4	1q22	1
UBQLN4P1	3q24	3
UBQLN4P2	2q23.3	2
UBQLNL	11p15.4	11
UBR1	15q15.2	15
UBR2	6p21.1	6
UBR3	2q31.1	2
UBR4	1p36.13	1
UBR5	8q22.3	8
UBR5-DT	8q22.3	8
UBR7	14q32.12	14
UBTD1	10q24.1-q24.2	10
UBTD2	5q35.1	5
UBTD2P1	3q24	3
UBTF	17q21.31	17
UBTFL1	11q14.3	11
UBTFL2	11q14.3	11
UBTFL3	2q11.1	2
UBTFL4	2q11.1	2
UBTFL5	2q11.1	2
UBTFL6	2q11.2	2
UBTFL7	11p11.12	11
UBTFL8	3p26.1	3
UBTFL9	11p11.12	11
UBTFL10	11q14.3	11
UBTFL11	Xp11.4	X
UBXN1	11q12.3	11
UBXN2A	2p23.3	2
UBXN2B	8q12.1	8
UBXN4	2q21.3	2
UBXN6	19p13	19
UBXN7	3q29	3
UBXN7-AS1	3q29	3
UBXN8	8p12	8
UBXN10	1p36.12	1
UBXN10-AS1	1p36.12	1
UBXN11	1p36.11	1
UCA1	19p13.12	19
UCHH2	reserved	reserved
UCHL1	4p13	4
UCHL1-DT	4p13	4
UCHL2	reserved	reserved
UCHL3	13q22.2	13
UCHL5	1q31.2	1
UCK1	9q34.13	9
UCK2	1q24.1	1
UCKL1	20q13.33	20
UCKL1-AS1	20q13.33	20
UCMA	10p13	10
UCN	2p23.3	2
UCN2	3p21.31	3
UCN3	10p15.1	10
UCP1	4q31.1	4
UCP2	11q13.4	11
UCP3	11q13.4	11
UEVLD	11p15.1	11
UFC1	1q23.3	1
UFC1P1	7q21.11	7
UFD1	22q11.21	22
UFD1-AS1	22q11.21	22
UFL1	6q16.1	6
UFL1-AS1	6q16.1	6
UFM1	13q13.3	13
UFM1P1	Xq27.3	X
UFM1P2	17q12	17
UFM1P3	8q22.2	8
UFS	10q23-q24	10
UFSP1	7q22.1	7
UFSP2	4q35.1	4
UGCG	9q31.3	9
UGDH	4p14	4
UGDH-AS1	4p14	4
UGGT1	2q14.3	2
UGGT2	13q32.1	13
UGGT2-IT1	13q32.1	13
UGP1	1q21-q22	1
UGP2	2p15	2
UGT1A	2q37	2
UGT1A1	2q37.1	2
UGT1A2P	2q37.1	2
UGT1A3	2q37.1	2
UGT1A4	2q37.1	2
UGT1A5	2q37.1	2
UGT1A6	2q37.1	2
UGT1A7	2q37.1	2
UGT1A8	2q37.1	2
UGT1A9	2q37.1	2
UGT1A10	2q37.1	2
UGT1A11P	2q37.1	2
UGT1A12P	2q37.1	2
UGT1A13P	2q37.1	2
UGT2A1	4q13.3	4
UGT2A2	4q13.3	4
UGT2A3	4q13.2	4
UGT2A3P7	4q13.3	4
UGT2B@	4q13	4
UGT2B4	4q13.3	4
UGT2B7	4q13.2	4
UGT2B10	4q13.2	4
UGT2B11	4q13.2	4
UGT2B15	4q13.2	4
UGT2B17	4q13.2	4
UGT2B24P	4q13.3	4
UGT2B25P	4q13.2-q13.3	4
UGT2B26P	4q13.2	4
UGT2B27P	4q13.2	4
UGT2B28	4q13.2	4
UGT2B29P	4q13.2	4
UGT3A1	5p13.2	5
UGT3A2	5p13.2	5
UGT8	4q26	4
UHMK1	1q23.3	1
UHRF1	19p13.3	19
UHRF1BP1L-DT	12q23.1	12
UHRF2	9p24.1	9
UHRF2P1	Xq13.2	X
UICLM	2q37.3	2
UIMC1	5q35.2	5
ULBP1	6q25.1	6
ULBP2	6q25.1	6
ULBP3	6q25.1	6
ULK1	12q24.33	12
ULK2	17p11.2	17
ULK3	15q24.1	15
ULK4	3p22.1	3
ULK4-IT1	3p22.1	3
ULK4P1	15q13.3	15
ULK4P2	15q13.2	15
ULK4P3	15q13.2	15
UMAD1	7p21.3	7
UMLILO	4q13.3	4
UMOD	16p12.3	16
UMODL1	21q22.3	21
UMODL1-AS1	21q22.3	21
UMPH2	17q23-q25	17
UMPS	3q21.2	3
UNC5A	5q35.2	5
UNC5B	10q22.1	10
UNC5B-AS1	10q22.1	10
UNC5C	4q22.3	4
UNC5C-AS1	4q22.3	4
UNC5CL	6p21.1	6
UNC5D	8p12	8
UNC13A	19p13.11	19
UNC13B	9p13.3	9
UNC13C	15q21.3	15
UNC13D	17q25.3	17
UNC45A	15q26.1	15
UNC45B	17q12	17
UNC50	2q11.2	2
UNC79	14q32.12	14
UNC80	2q34	2
UNC93A	6q27	6
UNC93B1	11q13.2	11
UNC93B2	7p22.1	7
UNC93B3	3p12.3	3
UNC93B4	4p16.3	4
UNC93B5	11q13.2	11
UNC93B6	11q13.4	11
UNC93B7	4p16.1	4
UNC93B8	4p16.1	4
UNC119	17q11.2	17
UNC119B	12q24.31	12
UNCX	7p22.3	7
UNG	12q24.11	12
UNGP1	16q12.1	16
UNGP2	14q12-q21	14
UNGP3	14q31.1	14
UNK	17q25.1	17
UNKL	16p13.3	16
UOX	1p31.1	1
UPB1	22q11.23	22
UPF1	19p13.11	19
UPF2	10p14	10
UPF3A	13q34	13
UPF3AP1	17p11.2	17
UPF3AP2	17p11.2	17
UPF3AP3	9q31.1	9
UPF3B	Xq24	X
UPF3BP1	Xq24	X
UPF3BP2	Xq24	X
UPF3BP3	Xq24	X
UPF3BP4	Xq24	X
UPK1A	19q13.12	19
UPK1A-AS1	19q13.12	19
UPK1B	3q13.32	3
UPK2	11q23.3	11
UPK3A	22q13.31	22
UPK3B	7q11.23	7
UPK3BL1	7q22.1	7
UPK3BL2	7q22.1	7
UPK3BL3P	7p13	7
UPK3BP1	7q11.23	7
UPP1	7p12.3	7
UPP2	2q24.1	2
UPP2-IT1	2q24.1	2
UPRT	Xq13.3	X
UQCC1	20q11.22	20
UQCC2	6p21.31	6
UQCC3	11q12.3	11
UQCC4	16p13.3	16
UQCC5	3p21.1	3
UQCC6	12q23.3	12
UQCR10	22q12.2	22
UQCR10P1	Xp11.22	X
UQCR11	19p13.3	19
UQCRB	8q22.1	8
UQCRB-AS1	8q22.1	8
UQCRBP1	Xp11.21	X
UQCRBP2	1q23.3	1
UQCRBP3	5p15.2	5
UQCRC1	3p21.31	3
UQCRC2	16p12.2	16
UQCRC2P1	3p21.31	3
UQCRFS1	19q12	19
UQCRFS1-DT	19q12	19
UQCRFS1P1	22q13.1	22
UQCRFS1P2	7q34	7
UQCRFS1P3	6p22.3	6
UQCRH	1p33	1
UQCRHL	1p36.21	1
UQCRHP1	6p21.33	6
UQCRHP2	2p23.3	2
UQCRHP3	10q11.21	10
UQCRHP4	3p13	3
UQCRHP5	6p21.33	6
UQCRQ	5q31.1	5
URAD	13q12.2	13
URAHP	16q24.3	16
URB1	21q22.11	21
URB1-AS1	21q22.11	21
URB2	1q42.13	1
URGCP	7p13	7
URGCP-MRPS24	7p13	7
URI1	19q12	19
URM1	9q34.11	9
UROC1	3q21.3	3
UROD	1p34.1	1
UROS	10q26.2	10
USB1	16q21	16
USE1	19p13.11	19
USF1	1q23.3	1
USF1P1	21q22.11	21
USF2	19q13.12	19
USF3	3q13.2	3
USH1A	14q32	14
USH1C	11p15.1	11
USH1E	21q21	21
USH1F	10	10
USH1G	17q25.1	17
USH1H	15q22-q23	15
USH1J	reserved	reserved
USH1K	10p11.21-q21.1	10
USH2A	1q41	1
USH2A-AS1	1q41	1
USH2A-AS2	1q41	1
USH2B	3p24.2-p23	3
USH2C	5q14-q21	5
USH3B	reserved	reserved
USHBP1	19p13.11	19
USO1	4q21.1	4
USP1	1p31.3	1
USP2	11q23.3	11
USP2-AS1	11q23.3	11
USP3	15q22.31	15
USP3-AS1	15q22.31	15
USP3L	17p11.2	17
USP4	3p21.31	3
USP5	12p13	12
USP6	17p13.2	17
USP6NL	10p14	10
USP6NL-AS1	10p14	10
USP6NL-IT1	10p14	10
USP7	16p13.2	16
USP7-AS1	16p13.2	16
USP8	15q21.2	15
USP8P1	6p21.33	6
USP8P2	2q23.1	2
USP9X	Xp11.4	X
USP9Y	Yq11.221	Y
USP9YP1	Yq11.222	Y
USP9YP2	Yq11.222	Y
USP9YP3	Yq11.223	Y
USP9YP4	Yp11.2	Y
USP9YP5	Yq11.222	Y
USP9YP6	Yq11.222	Y
USP9YP7	Yq11.222	Y
USP9YP8	Yq11.223	Y
USP9YP9	Yq11.23	Y
USP9YP10	Yq11.222	Y
USP9YP11	Yq11.23	Y
USP9YP12	Yq11.223	Y
USP9YP13	Yq11.223	Y
USP9YP14	Yq11.222	Y
USP9YP15	Yq11.222	Y
USP9YP16	Yq11.222	Y
USP9YP17	Yq11.223	Y
